Bpressure,deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
949.4254150390625,ccbc9d76c2ebeaf5,0.34611400961875916,-0.15750199556350708,0.17531819641590118,0.09529490768909454,2,,,0.9123160243034363,4,-0.16905683279037476,322.9875183105469,2023-06-06 09:02:18,
949.433349609375,ccbc9d76c2ebeaf5,0.42681699991226196,-0.24088901281356812,-0.15225805342197418,-0.022983787581324577,2,-16.42500114440918,8.11875057220459,0.9054229855537415,5,0.23632831871509552,,2023-06-06 09:02:18,-12.956250190734863
949.426513671875,ccbc9d76c2ebeaf5,0.27004700899124146,-0.01622599922120571,-0.002901607658714056,0.0371863916516304,2,-15.393750190734863,8.456250190734863,0.9982040524482727,0,-0.07475458085536957,375.030029296875,2023-06-06 09:02:19,-12.018750190734863
949.4234619140625,ccbc9d76c2ebeaf5,0.37039199471473694,-0.22844499349594116,,,2,-14.362500190734863,8.850000381469727,0.9675210118293762,1,,,2023-06-06 09:02:19,-11.081250190734863
,ccbc9d76c2ebeaf5,0.3509940207004547,-0.17043399810791016,-0.03245219215750694,-0.11201732605695724,2,-13.500000953674316,9.075000762939453,0.9451949596405029,2,0.09094249457120895,376.9875183105469,2023-06-06 09:02:19,-10.200000762939453
949.417724609375,ccbc9d76c2ebeaf5,0.3228730261325836,-0.12883199751377106,-0.10819942504167557,-0.16241367161273956,2,,,0.9225639700889587,3,0.45478883385658264,387.9900207519531,2023-06-06 09:02:19,
949.419189453125,ccbc9d76c2ebeaf5,0.3169560134410858,-0.11108099669218063,-0.01977674663066864,-0.08567378669977188,2,-13.143750190734863,9.09375,0.9561139345169067,4,0.2808450758457184,392.9850158691406,2023-06-06 09:02:19,-9.581250190734863
949.43115234375,ccbc9d76c2ebeaf5,0.248758003115654,0.007075999863445759,0.05345066636800766,0.1164461001753807,2,-12.881250381469727,8.981250762939453,0.9789279699325562,5,-0.06475166976451874,390.0150146484375,2023-06-06 09:02:19,-8.850000381469727
949.4361572265625,ccbc9d76c2ebeaf5,0.3454429805278778,-0.10553000122308731,,,2,-12.787500381469727,8.68125057220459,0.9586149454116821,0,,,2023-06-06 09:02:20,-8.081250190734863
,ccbc9d76c2ebeaf5,0.2892009913921356,-0.04617699980735779,-0.012904518283903599,0.03428478538990021,2,,,0.9810019731521606,1,-0.047036588191986084,391.02752685546875,2023-06-06 09:02:20,
949.4359130859375,ccbc9d76c2ebeaf5,0.3072569966316223,-0.06588000059127808,-0.047952886670827866,-0.06742420047521591,2,-12.581250190734863,8.34375,0.9803309440612793,2,-0.09552398324012756,386.9775085449219,2023-06-06 09:02:20,-7.312500476837158
949.43505859375,ccbc9d76c2ebeaf5,0.3004859983921051,-0.07893399894237518,,,2,-12.375000953674316,7.893750190734863,0.9693509936332703,3,,,2023-06-06 09:02:20,-6.431250095367432
949.4345703125,ccbc9d76c2ebeaf5,0.33861100673675537,-0.06649000197649002,0.033139415085315704,0.07070759683847427,2,-12.206250190734863,7.556250095367432,0.8576599955558777,4,0.017333287745714188,382.9950256347656,2023-06-06 09:02:20,-5.4375
,ccbc9d76c2ebeaf5,0.30902600288391113,-0.06374499946832657,-0.010079269297420979,-0.014584396965801716,2,,,0.9590420126914978,5,-0.02130390889942646,385.02001953125,2023-06-06 09:02:20,
949.4267578125,ccbc9d76c2ebeaf5,0.31500399112701416,-0.07631099969148636,,,2,-11.925000190734863,7.181250095367432,0.9450730085372925,6,,,2023-06-06 09:02:20,-4.631250381469727
